Date,Open,High,Low,Close,Adj Close,Volume
2015-09-07,129.190002,134.710007,126.820000,132.880005,132.880005,3413800
2015-09-14,133.750000,133.940002,127.260002,130.649994,130.649994,4444100
2015-09-21,132.679993,132.800003,105.370003,108.690002,108.690002,9610200
2015-09-28,106.849998,113.849998,95.089996,113.000000,113.000000,13945600
2015-10-05,114.769997,115.980003,96.379997,102.690002,102.690002,9679000
2015-10-12,103.279999,112.410004,99.110001,108.839996,108.839996,7947400
2015-10-19,108.889999,111.480003,99.360001,104.139999,104.139999,7100800
2015-10-26,103.870003,118.480003,102.199997,117.040001,117.040001,8347000
2015-11-02,118.370003,118.370003,108.209999,114.919998,114.919998,6629200
2015-11-09,113.699997,114.629997,105.739998,107.440002,107.440002,4917800
2015-11-16,107.570000,108.970001,94.000000,97.000000,97.000000,11411000
2015-11-23,97.500000,98.949997,94.290001,96.449997,96.449997,6293200
2015-11-30,96.309998,98.570000,93.120003,98.110001,98.110001,6412600
2015-12-07,98.150002,98.500000,93.650002,93.790001,93.790001,5479400
2015-12-14,93.940002,105.139999,91.209999,104.440002,104.440002,7652800
2015-12-21,104.839996,106.459999,102.419998,105.839996,105.839996,3270100
2015-12-28,105.910004,107.559998,104.400002,104.760002,104.760002,2782500
2016-01-04,102.800003,105.610001,94.300003,95.750000,95.750000,6546200
2016-01-11,95.870003,96.769997,77.589996,83.139999,83.139999,14980900
2016-01-18,83.809998,85.839996,74.690002,84.660004,84.660004,7940100
2016-01-25,83.860001,87.930000,70.250000,74.019997,74.019997,10617700
2016-02-01,73.809998,76.699997,66.199997,68.410004,68.410004,10560300
2016-02-08,68.169998,71.250000,62.119999,70.080002,70.080002,9976600
2016-02-15,72.110001,79.629997,71.489998,77.699997,77.699997,8814000
2016-02-22,79.050003,82.110001,72.959999,80.139999,80.139999,9019700
2016-02-29,80.750000,90.989998,80.620003,86.669998,86.669998,11412000
2016-03-07,87.699997,90.459999,81.320000,88.269997,88.269997,7186200
2016-03-14,87.519997,88.760002,74.669998,80.940002,80.940002,9511200
2016-03-21,76.129997,85.320000,75.900002,80.870003,80.870003,9103900
2016-03-28,81.349998,86.720001,76.419998,84.660004,84.660004,6884100
2016-04-04,85.669998,91.910004,82.480003,85.209999,85.209999,6893500
2016-04-11,85.580002,89.980003,82.260002,86.750000,86.750000,7085200
2016-04-18,86.089996,94.080002,83.900002,93.800003,93.800003,11501200
2016-04-25,93.760002,93.760002,83.019997,84.680000,84.680000,7162900
2016-05-02,85.709999,87.410004,79.320000,80.800003,80.800003,5506300
2016-05-09,81.099998,87.620003,78.199997,82.709999,82.709999,5716500
2016-05-16,82.820000,87.510002,82.820000,86.449997,86.449997,5587900
2016-05-23,86.849998,89.849998,85.349998,89.089996,89.089996,4529500
2016-05-30,89.349998,92.480003,86.010002,90.000000,90.000000,5722200
2016-06-06,89.139999,90.050003,79.519997,81.099998,81.099998,4907700
2016-06-13,81.089996,85.529999,78.160004,83.860001,83.860001,11449300
2016-06-20,82.769997,85.800003,76.760002,77.010002,77.010002,8314900
2016-06-27,75.870003,81.669998,73.449997,81.379997,81.379997,9255200
2016-07-04,80.639999,93.040001,77.980003,91.489998,91.489998,13255300
2016-07-11,91.820000,94.750000,85.860001,92.080002,92.080002,9916600
2016-07-18,92.230003,95.489998,89.570000,93.580002,93.580002,8133400
2016-07-25,94.019997,99.620003,90.519997,99.419998,99.419998,13107100
2016-08-01,99.330002,102.489998,97.400002,98.940002,98.940002,9260100
2016-08-08,99.290001,99.620003,90.660004,92.440002,92.440002,11521000
2016-08-15,92.900002,94.220001,90.910004,91.989998,91.989998,6479700
2016-08-22,95.669998,102.059998,92.349998,96.220001,96.220001,11092200
2016-08-29,96.260002,96.790001,92.790001,95.730003,95.730003,4603000
2016-09-05,95.959999,98.220001,93.599998,94.029999,94.029999,5031200
2016-09-12,93.330002,97.220001,92.849998,96.860001,96.860001,6852100
2016-09-19,96.620003,101.269997,95.000000,97.400002,97.400002,6207400
2016-09-26,96.860001,98.190002,91.199997,92.519997,92.519997,5724300
2016-10-03,91.980003,96.550003,91.190002,93.510002,93.510002,4906400
2016-10-10,94.070000,94.980003,84.580002,85.040001,85.040001,5995700
2016-10-17,84.830002,87.339996,81.849998,82.279999,82.279999,5394600
2016-10-24,82.669998,83.389999,78.559998,81.129997,81.129997,5843500
2016-10-31,81.260002,84.589996,78.419998,82.000000,82.000000,7115900
2016-11-07,82.639999,98.339996,81.639999,91.459999,91.459999,10404100
2016-11-14,91.779999,93.849998,88.699997,89.000000,89.000000,5667400
2016-11-21,89.129997,89.989998,83.620003,89.000000,89.000000,4126000
2016-11-28,89.000000,89.099998,81.889999,82.209999,82.209999,6313500
2016-12-05,82.510002,87.519997,79.500000,82.680000,82.680000,7888600
2016-12-12,82.370003,86.400002,80.669998,85.360001,85.360001,7146700
2016-12-19,85.150002,86.680000,82.839996,85.660004,85.660004,5001800
2016-12-26,86.000000,87.610001,81.500000,82.839996,82.839996,3661700
2017-01-02,83.300003,87.970001,83.000000,86.849998,86.849998,4499800
2017-01-09,89.790001,92.199997,84.449997,86.919998,86.919998,7649200
2017-01-16,86.339996,87.500000,84.360001,84.620003,84.620003,4018500
2017-01-23,84.620003,87.000000,82.570000,86.559998,86.559998,4862700
2017-01-30,86.489998,89.809998,84.000000,88.809998,88.809998,5229200
2017-02-06,88.570000,92.190002,87.830002,90.129997,90.129997,4228900
2017-02-13,90.330002,92.419998,89.199997,89.870003,89.870003,5307700
2017-02-20,90.239998,90.959999,85.879997,87.510002,87.510002,5870600
2017-02-27,87.260002,95.790001,87.260002,93.949997,93.949997,7826200
2017-03-06,93.320000,93.910004,89.000000,92.529999,92.529999,4348500
2017-03-13,92.680000,93.459999,89.800003,90.900002,90.900002,5165500
2017-03-20,90.970001,91.050003,86.279999,87.370003,87.370003,4916600
2017-03-27,86.830002,89.849998,86.709999,87.779999,87.779999,4242500
2017-04-03,87.559998,88.690002,85.449997,87.949997,87.949997,5471400
2017-04-10,87.639999,90.500000,87.339996,89.910004,89.910004,3308100
2017-04-17,89.910004,92.449997,87.379997,88.470001,88.470001,4651100
2017-04-24,90.480003,98.949997,90.239998,95.839996,95.839996,9452200
2017-05-01,96.029999,100.510002,94.050003,94.230003,94.230003,6807300
2017-05-08,93.169998,94.349998,88.360001,89.849998,89.849998,5416200
2017-05-15,89.620003,92.940002,89.059998,89.230003,89.230003,5525400
2017-05-22,89.269997,90.730003,87.150002,88.000000,88.000000,4718800
2017-05-29,88.180000,91.029999,86.519997,90.720001,90.720001,5246400
2017-06-05,90.559998,91.610001,88.970001,90.230003,90.230003,4029800
2017-06-12,89.919998,93.580002,88.000000,88.489998,88.489998,6164400
2017-06-19,89.279999,100.029999,88.459999,95.000000,95.000000,9802600
2017-06-26,95.099998,95.580002,88.529999,90.820000,90.820000,7107000
2017-07-03,91.120003,92.059998,89.360001,90.510002,90.510002,3720900
2017-07-10,90.589996,91.940002,88.599998,91.000000,91.000000,6487200
2017-07-17,90.970001,91.199997,86.010002,89.279999,89.279999,8301500
2017-07-24,89.120003,90.500000,86.750000,88.339996,88.339996,5252800
2017-07-31,88.300003,90.750000,85.900002,89.699997,89.699997,6554500
2017-08-07,89.820000,90.050003,80.889999,82.400002,82.400002,9678700
2017-08-14,83.180000,83.959999,80.760002,80.919998,80.919998,5758200
2017-08-21,80.989998,82.830002,80.290001,81.879997,81.879997,4121300
2017-08-28,82.620003,91.199997,81.669998,90.669998,90.669998,7901300
2017-09-04,90.300003,91.400002,88.830002,90.099998,90.099998,6755500
2017-09-11,90.330002,93.320000,89.570000,91.910004,91.910004,7253100
2017-09-18,91.830002,95.320000,91.400002,94.949997,94.949997,6910300
2017-09-25,94.730003,95.449997,91.910004,93.070000,93.070000,5393300
2017-10-02,93.519997,95.709999,92.480003,94.809998,94.809998,5006700
2017-10-09,94.760002,96.050003,93.580002,95.120003,95.120003,5078500
2017-10-16,95.129997,96.050003,86.769997,87.750000,87.750000,9024600
2017-10-23,88.269997,88.459999,81.720001,83.150002,83.150002,9003900
2017-10-30,82.730003,84.220001,80.599998,84.129997,84.129997,7386100
2017-11-06,83.750000,84.260002,80.769997,82.029999,82.029999,6581300
2017-11-13,82.019997,83.360001,80.580002,82.879997,82.879997,5605000
2017-11-20,82.879997,83.910004,82.639999,82.709999,82.709999,2449400
2017-11-27,82.830002,87.080002,81.570000,85.000000,85.000000,4678200
2017-12-04,85.320000,86.459999,80.099998,81.989998,81.989998,5410800
2017-12-11,89.489998,93.019997,86.360001,93.019997,93.019997,11574200
2017-12-18,93.000000,93.739998,89.510002,90.459999,90.459999,4686200
2017-12-25,90.050003,91.430000,88.680000,89.169998,89.169998,2860900
2018-01-01,88.839996,93.440002,88.190002,90.269997,90.269997,5101000
2018-01-08,90.209999,91.000000,87.199997,90.220001,90.220001,6492800
2018-01-15,90.580002,92.000000,88.480003,89.120003,89.120003,4748600
2018-01-22,90.000000,93.290001,89.000000,91.599998,91.599998,7036500
2018-01-29,91.529999,93.089996,89.250000,90.820000,90.820000,7124500
2018-02-05,90.599998,91.059998,78.500000,80.330002,80.330002,9827000
2018-02-12,81.099998,85.970001,80.980003,84.980003,84.980003,5716100
2018-02-19,81.769997,86.309998,81.199997,83.050003,83.050003,5140000
2018-02-26,83.470001,85.400002,77.050003,79.860001,79.860001,7454500
2018-03-05,79.040001,83.940002,78.500000,83.809998,83.809998,5795300
2018-03-12,83.610001,86.739998,82.459999,84.099998,84.099998,6709600
2018-03-19,83.540001,86.550003,78.660004,78.839996,78.839996,7067500
2018-03-26,80.290001,81.629997,77.290001,81.070000,81.070000,4970200
2018-04-02,80.120003,80.419998,75.809998,76.010002,76.010002,5470200
2018-04-09,77.529999,84.589996,76.769997,83.589996,83.589996,7678600
2018-04-16,84.279999,85.820000,81.099998,82.300003,82.300003,6712200
2018-04-23,82.150002,84.699997,80.029999,84.309998,84.309998,6151200
2018-04-30,84.709999,86.300003,81.519997,85.379997,85.379997,7124700
2018-05-07,85.959999,90.239998,85.419998,88.410004,88.410004,7336300
2018-05-14,88.690002,89.980003,87.279999,88.879997,88.879997,4214000
2018-05-21,89.059998,92.870003,84.019997,92.489998,92.489998,10595900
2018-05-28,91.680000,92.790001,89.470001,91.919998,91.919998,4827100
2018-06-04,91.800003,92.879997,89.870003,90.639999,90.639999,4517400
2018-06-11,90.309998,98.800003,88.199997,97.599998,97.599998,8733700
2018-06-18,95.199997,99.760002,94.300003,99.029999,99.029999,7787700
2018-06-25,97.970001,97.970001,90.190002,94.199997,94.199997,7097700
2018-07-02,93.410004,98.279999,92.769997,98.250000,98.250000,3062500
2018-07-09,95.370003,103.959999,95.370003,103.610001,103.610001,7087000
2018-07-16,104.000000,104.459999,100.650002,101.900002,101.900002,4727200
2018-07-23,101.690002,103.480003,99.059998,100.040001,100.040001,6132600
2018-07-30,99.989998,104.000000,98.330002,99.470001,99.470001,5532900
2018-08-06,99.610001,106.199997,97.040001,101.459999,101.459999,7282500
2018-08-13,101.419998,103.809998,99.320000,101.010002,101.010002,4983300
2018-08-20,101.220001,101.940002,97.550003,98.760002,98.760002,4577800
2018-08-27,99.339996,100.730003,97.260002,99.980003,99.980003,3917300
2018-09-03,98.160004,98.910004,95.160004,98.040001,98.040001,5197000
2018-09-10,98.389999,100.199997,96.180000,99.410004,99.410004,5449500
2018-09-17,99.199997,101.440002,96.790001,97.839996,97.839996,6294100
2018-09-24,97.239998,99.349998,96.019997,96.970001,96.970001,7600000
2018-10-01,98.129997,102.589996,97.269997,101.089996,101.089996,6142900
2018-10-08,101.180000,104.980003,96.099998,99.510002,99.510002,7688300
2018-10-15,99.400002,106.739998,98.540001,103.220001,103.220001,6163300
2018-10-22,103.550003,104.470001,90.000000,97.440002,97.440002,7996700
2018-10-29,99.000000,99.489998,90.379997,97.959999,97.959999,6092200
2018-11-05,98.680000,101.720001,94.970001,95.669998,95.669998,4173700
2018-11-12,95.360001,96.669998,90.250000,95.699997,95.699997,4675800
2018-11-19,95.589996,96.070000,90.989998,93.779999,93.779999,2465400
2018-11-26,94.750000,98.989998,94.199997,96.029999,96.029999,3850200
2018-12-03,96.610001,99.889999,91.570000,92.699997,92.699997,4091700
2018-12-10,93.000000,97.620003,91.570000,93.110001,93.110001,4485400
2018-12-17,92.639999,95.699997,80.529999,80.919998,80.919998,6470100
2018-12-24,80.500000,85.430000,79.129997,83.599998,83.599998,3838500
2018-12-31,83.889999,88.230003,82.010002,87.099998,87.099998,3909900
2019-01-07,87.580002,95.110001,87.070000,94.459999,94.459999,5346500
2019-01-14,93.790001,98.529999,92.650002,97.690002,97.690002,4435300
2019-01-21,96.820000,97.709999,92.330002,95.440002,95.440002,4566900
2019-01-28,94.370003,98.769997,91.500000,98.620003,98.620003,3550800
2019-02-04,98.349998,100.129997,92.949997,94.279999,94.279999,3359800
2019-02-11,94.349998,96.849998,92.059998,93.989998,93.989998,4192200
2019-02-18,93.779999,94.489998,84.010002,87.870003,87.870003,5589200
2019-02-25,93.379997,95.000000,90.940002,94.760002,94.760002,6009600
2019-03-04,95.000000,96.199997,89.209999,89.989998,89.989998,4400200
2019-03-11,89.709999,95.849998,88.699997,94.529999,94.529999,4431400
2019-03-18,94.089996,94.639999,87.970001,88.050003,88.050003,4819300
2019-03-25,87.860001,90.000000,86.620003,88.830002,88.830002,4489300
2019-04-01,89.000000,94.000000,87.830002,93.900002,93.900002,5484300
2019-04-08,93.760002,93.760002,88.690002,89.930000,89.930000,3269300
2019-04-15,90.099998,92.809998,81.220001,83.160004,83.160004,7533300
2019-04-22,82.930000,87.190002,82.000000,85.089996,85.089996,6528100
2019-04-29,84.980003,86.919998,82.889999,84.099998,84.099998,5903600
2019-05-06,82.550003,84.209999,81.050003,82.430000,82.430000,6636600
2019-05-13,81.010002,90.610001,79.790001,88.709999,88.709999,8852900
2019-05-20,87.889999,89.330002,86.199997,89.029999,89.029999,4991000
2019-05-27,89.839996,89.839996,82.129997,82.239998,82.239998,9873900
2019-06-03,82.500000,84.379997,79.830002,80.639999,80.639999,9397900
2019-06-10,81.089996,83.150002,80.080002,80.839996,80.839996,5655200
2019-06-17,81.080002,88.089996,81.050003,87.910004,87.910004,5426700
2019-06-24,87.709999,87.760002,81.669998,85.650002,85.650002,6106500
2019-07-01,86.989998,86.989998,81.660004,82.000000,82.000000,3687800
2019-07-08,81.629997,85.790001,79.410004,82.949997,82.949997,7325800
2019-07-15,83.230003,84.139999,81.370003,81.570000,81.570000,3779600
2019-07-22,81.930000,82.489998,80.250000,81.110001,81.110001,3650700
2019-07-29,81.129997,81.730003,76.010002,77.839996,77.839996,7108600
2019-08-05,76.199997,77.769997,74.830002,76.989998,76.989998,5255400
2019-08-12,76.440002,77.070000,71.529999,76.500000,76.500000,8981200
2019-08-19,77.410004,78.739998,75.489998,75.760002,75.760002,5628800
2019-08-26,76.519997,77.000000,73.459999,75.059998,75.059998,4017500
2019-09-02,74.769997,75.000000,71.870003,72.129997,72.129997,3512100
2019-09-09,72.220001,74.760002,70.820000,72.650002,72.650002,5968000
2019-09-16,72.290001,77.110001,72.010002,74.949997,74.949997,6880800
2019-09-23,74.910004,75.000000,67.980003,68.309998,68.309998,6678000
2019-09-30,68.849998,68.849998,62.880001,65.910004,65.910004,9075000
2019-10-07,65.489998,68.209999,64.599998,67.360001,67.360001,6538800
2019-10-14,67.239998,70.209999,66.800003,69.150002,69.150002,5564000
2019-10-21,69.199997,71.540001,67.099998,71.190002,71.190002,10095200
2019-10-28,71.230003,74.970001,70.779999,73.629997,73.629997,6449800
2019-11-04,74.330002,76.690002,72.989998,75.900002,75.900002,6582600
2019-11-11,75.379997,76.860001,74.389999,75.040001,75.040001,10450300
2019-11-18,74.809998,79.180000,74.800003,77.769997,77.769997,9550100
